,,,,,Synonyms in Software Tools,,,,,https://rdrr.io/bioc/CAMERA/man/ruleSet-class.html,,,,,,
metabolomicsUtils name,in R?,Charge,Calculation,Definition,SIRIUS,MetFrag,mzMine,MassBank,enviPat,CAMERA,GNPS,Agilent,Waters,Bruker MetaboScape,Damont et al,Others
,,,,,,,,,,[M+3H-CH4]3+,,,,,,
,,,,,,,,,,[M+3H-CO]3+,,,,,,
,,,,,,,,,,[M+3H-CO2]3+,,,,,,
,,,,,,,,,,[M+3H-COCH2]3+,,,,,,
,,,,,,,,,,[M+3H-H20]3+,,,,,,
,,,,,,,,,,[M+3H-HCOOH]3+,,,,,,
,,,,,,,,,,[M+3H-NH3]3+,,,,,,
,,,,,,,,,,[M+3K-H]2+,,,,,,
,,,,,,,,,,[M+3Na-H]2+,,,,,,
,,,,,,,,,,[M+3Na+2K-H]4+,,,,,,
,,,,,,,,,,[M+3Na+K-H]3+,,,,,,
,,,,,,,,,,[M+H-C2H4]+,,,,,,
,,,,,,,,,,[M+H-C3H2O3]+,,,,,,
,,,,,,,,,,[M+H-C4H8]+,,,,,,
,,,,,,,,,,[M+H-C5H8O4]+,,,,,,
,,,,,,,,,,[M+H-C6H10O4]+,,,,,,
,,,,,,,,,,[M+H-C6H10O5]+,,,,,,
,,,,,,,,,,[M+H-C6H8O6]+,,,,,,
,,,,,,,,,,[M+H-CH2]+,,,,,,
,,,,,,,,,,[M+H-CH3]+,,,,,,
,,,,,,,,,,[M+H-CH4]+,,,,,,
,,,,,,,,,,[M+H-CO]+,,,,,,
,,,,,,,,,,[M+H-CO2]+,,,,,,
,,,,,,,,,,[M+H-COCH2]+,,,,,,
,,,,,,,,,,[M+H-H20]+,,,,,,
,,,,,,,,,,[M+H-HCOOH]+,,,,,,
,,,,,,,,,,[M+H-NH3]+,,,,,,
,,,,,,,,,,[M+H+CF3COOH]+,,,,,,
,,,,,,,,,,[M+H+HCOOH]+,,,,,,
,,,,,,,,,,[M+H+K]2+,,,,,,
,,,,,,,,,,[M+H+Na]2+,,,,,,
